,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20,9.383602,15.002831,10.644182,7.40967,9.340159,-20.726536,-17.70099,-5.6100235,7.9898267,-6.410772,-12.703414,-10.887392,-7.7601514,-19.323496,-11.731875,-4.4519324,16.756273,-2.2576303,0.77914834,-13.90975,-11.601034,-17.326149,-0.77752453,-2.865731,-24.882843,-7.4372916,-3.9106095,1.1722175,7.103937,0.88233626
21,14.360496,5.5166078,10.775851,8.912388,6.2328286,-25.468401,-4.7224545,-0.7385523,5.4564548,-3.114626,-6.963825,-8.5806,0.2826154,-9.79733,-11.02049,-3.8247204,-11.497743,-8.336306,-4.9675922,-9.488287,-6.968782,-6.6232815,-9.371944,-11.563762,-22.775629,-4.7567773,-0.33903062,-9.330154,-2.8148367,-5.853992
22,8.816573,14.649888,8.477666,3.6034107,-0.037164435,4.3071046,-11.162856,4.887027,2.6398025,-0.548997,-18.695883,-16.630981,-4.299357,-8.209707,0.11777824,-3.7022922,-7.841803,2.5724916,-12.678818,-15.761967,-5.406497,-3.6435165,-3.3733099,-1.662058,-28.112564,-3.1105583,1.6989695,-10.657135,-1.990615,-8.535626
23,-1.2905482,12.041812,2.8962388,-0.46082082,5.0280113,-9.32115,-7.304943,-0.13534947,-4.5745835,-3.2880344,-8.032695,-7.0292597,3.2547843,-0.24630903,-10.064507,-2.566026,-1.2294989,-2.3027604,1.0629781,-2.5936735,-6.35341,-9.381929,-6.3940363,-6.926391,-16.815437,-5.811537,0.6237388,6.6129804,1.2886862,-3.6400628
24,4.675874,9.488292,0.86026794,-2.8010662,-0.39033052,-21.36031,19.30853,-11.56444,-6.445589,1.0713736,-2.5964096,10.189181,0.18779215,-11.592239,-5.086337,-8.063703,-3.3694007,-6.7148123,-9.870012,-3.5165431,0.22920004,-16.391531,-11.428596,-3.2724311,24.962078,-11.741703,1.0183417,-4.492432,-17.133516,-4.0934796
25,14.325052,5.6346855,17.06126,31.978306,5.597325,-25.192085,-9.995983,-9.925596,12.879681,-16.988464,-10.579939,-5.395905,15.388705,-20.168304,-19.0024,-1.2348019,-16.035585,-19.273254,1.110544,-19.47068,-22.785284,-13.879629,-10.336611,-19.863533,-25.044714,-12.102999,-6.3156953,-8.56851,-10.568531,-0.7298813
26,10.901025,16.606068,5.807192,3.8627691,13.640393,-15.181826,-12.054926,-15.320574,12.206373,15.963536,4.902033,12.596065,-0.37759644,-24.472937,-3.0527725,-6.982432,-12.249993,-9.110226,-20.833511,11.946243,-5.122557,-8.462798,-5.9987507,-13.921809,-31.694956,-9.918054,-9.537893,-10.099784,-0.13330562,-10.102803
27,10.537725,11.903036,7.059223,3.4429312,-1.6701847,-6.824986,-8.944764,-1.5741987,2.4092402,-0.46645215,-15.80528,-12.940713,2.4189923,-10.152766,-0.42799354,-3.3901126,-13.546657,-6.5101414,-2.8063197,-6.622578,-4.4816537,6.0434976,-3.4351985,-1.6715295,-24.318743,-6.480398,3.0670054,-6.3575187,-3.6694424,-12.118254
28,-1.775876,15.466115,4.482218,2.0898857,19.08802,-14.034243,1.6215367,0.031206448,-6.1939697,-12.690253,0.20440845,-24.807522,-4.3093085,21.97051,-7.2688117,-3.9108586,-10.738059,-17.781178,-25.069653,-11.724041,-6.9034863,0.86767465,1.9701915,-3.8518307,-24.826885,-10.259806,14.302689,-20.081457,-8.256354,-1.1342757
29,9.086466,15.015484,12.764923,9.596688,8.799488,-21.945164,-17.750648,-7.2931027,5.87868,-8.209844,-14.845848,-11.040896,-7.6138344,-19.802477,-12.466461,-4.075708,18.318546,-3.1609478,3.2617989,-14.779315,-13.182782,-18.776068,-0.55236256,-3.389889,-24.271048,-8.806705,-4.242756,2.4012694,6.7757225,1.9992688
30,11.95403,7.029792,10.792333,5.506616,2.6746259,-22.571129,-5.417209,-0.34128147,2.5454378,-4.325104,4.762566,-15.524219,3.954904,-4.469717,4.1406436,15.076622,-11.840921,-4.4606824,-10.763616,-5.0683722,-7.849724,-1.2986109,-3.6455948,-7.1314573,-14.296026,-6.819686,-9.149662,-6.9777303,3.3968458,-5.361013
31,9.279941,9.76205,11.188333,10.005968,7.510757,-29.238344,-22.154274,13.479547,4.0478873,2.9869468,-4.8543816,-3.856401,4.7990737,-8.08107,-12.94906,3.133652,-10.914898,3.386076,-16.238579,-5.3942404,-6.542609,-3.2632873,-8.227897,-12.700936,-42.169827,6.8669586,-10.349658,-17.200317,10.320226,-5.0970936
32,6.8203588,8.330929,8.656311,2.670815,10.433567,-25.452972,9.06641,10.476005,-8.165707,-5.732678,-11.360536,-2.914967,-8.119354,-11.722972,-18.232883,0.067529954,14.097928,6.789233,-17.754383,-9.186239,-14.1400175,-10.029013,-6.711049,-7.3347034,-7.4149303,2.7793095,-3.330386,-11.329941,11.470343,-2.8121746
33,13.35128,15.526613,12.465637,4.5389743,0.8247882,-13.796859,-9.994595,-11.636369,3.3774753,1.9677266,-9.488405,-12.2832155,0.9226852,-14.552766,9.947496,-8.047572,-12.3487015,-10.697353,-4.7787232,-6.984412,-3.8677354,-4.8562045,-5.510853,-0.5869683,-23.710487,-12.846618,-3.5161304,-5.9219966,-8.020118,-9.84814
34,11.158707,5.79534,12.1706,6.8020606,5.137831,-19.156948,-4.057145,-3.8252032,9.623913,-7.9394145,-6.2443047,-4.9968553,-1.4222776,-7.836938,-5.313652,-2.5412152,-5.7352824,-8.217352,-3.241194,-7.7441144,-9.090398,-11.542003,-9.564009,-12.443037,-18.898445,-6.849237,-1.8884634,-7.941574,-1.1876224,-3.7686946
35,7.999175,12.209664,1.435354,4.511697,13.714801,-19.31225,10.094193,-3.7333443,-6.6989646,-10.930449,-0.5885604,-15.055414,-0.7086493,9.762747,-6.798999,-8.013614,-13.2624235,-12.771115,-20.392586,-10.376019,-8.928968,-8.42743,-9.733685,-16.33002,-12.757956,-15.276637,5.9894924,-13.176019,-9.375435,-3.8649235
36,12.550209,10.13375,13.135083,11.858431,-0.89028895,-19.433996,-10.395443,-16.857126,7.4421816,-0.34495854,-6.100198,2.4199271,-1.9115149,-15.189826,-4.063097,1.5794674,-14.141983,-10.961784,6.4714365,23.462898,-7.91321,-17.751102,-12.95909,-21.56327,-21.942266,-20.130407,-10.161832,4.2080736,-0.9413121,-7.0294857
37,-6.020549,19.342136,5.021151,-0.025999613,15.205342,-19.705032,-12.796725,13.440417,-10.298564,20.7771,-2.9110174,2.786661,-4.199888,-7.9716244,-14.302202,-0.36008292,-2.5406423,9.053431,-23.497128,9.054327,-0.71528286,-4.511904,-5.7822165,-8.967471,-32.18959,2.432804,-9.581988,-8.842089,14.131255,-9.564609
38,11.368557,16.552343,8.303984,6.3970003,13.309932,-14.230505,-13.04571,-15.9725895,12.657208,16.214207,1.9790779,8.875363,-3.130369,-27.259073,-2.9031603,-3.6233666,-10.490866,-7.6657815,-19.2597,12.086652,-7.02821,-11.332574,-3.0616012,-15.0165615,-28.369284,-14.126846,-9.42507,-8.363999,-2.114044,-8.716989
39,11.324943,16.935846,9.362453,4.7352962,11.482359,8.723652,-8.248353,-9.881732,5.075843,-6.6889296,-12.572873,-18.026241,-0.9758416,-16.098707,1.2330588,-9.747509,-12.252268,-17.227964,-9.36368,-9.385984,-15.451068,-1.773112,-5.223067,-8.386327,-26.783186,-13.766261,1.8118404,-7.1625557,-8.8793545,-10.222251
