,0,1,2,3,4,5,6,7,8,9
28,-6.6790223,13.007574,2.1662145,-1.1151847,16.328661,-4.0981283,-2.3544436,-6.3329477,-8.573873,-4.914815
29,7.42973,13.211147,10.823341,8.044818,6.7545843,-24.683842,-19.43673,-4.8843427,3.81363,-4.909231
30,9.748922,6.10297,8.597317,2.919139,1.7133034,-14.328878,-8.569053,-11.24236,1.0043058,-7.4693937
31,4.5393286,5.062831,6.2124653,5.0978203,2.3219247,-21.036108,-11.588192,8.711188,-1.9755872,-2.1025615
32,5.0671725,6.535539,6.856085,1.3607433,7.9343934,-23.494724,7.139228,9.179386,-9.3568735,-7.741437
33,11.683432,13.687641,10.714875,2.8042927,-1.695705,-20.273527,-13.537683,-13.866976,1.5526395,-0.3032478
34,8.361216,2.8804593,9.303187,4.164314,1.9648455,-20.700483,-7.4057183,-2.973421,6.9678807,-5.2308784
35,3.4690993,7.971685,-4.4364595,-0.104120016,9.175017,-7.4148626,5.006156,-5.9941444,-8.479856,-4.023396
36,10.136949,8.302677,10.287532,9.078877,-5.449576,-24.35415,-14.759378,-5.973929,5.1701527,-1.7352455
37,-10.150728,15.828922,0.34751764,-0.20316584,11.399788,-16.649332,-18.675081,9.594787,-4.502875,17.0255
38,6.2732687,11.303036,3.276216,1.9993668,8.70829,-24.1715,-24.813314,-18.063204,8.098039,10.772688
39,5.9098573,11.48981,3.7556179,-0.7911553,6.235372,3.556798,-13.71242,-10.909753,-1.089561,-4.9971566
40,-4.0546417,13.34429,2.0298305,0.5717818,8.017955,-15.325339,-17.483137,16.843615,-0.39697808,14.439803
41,5.3692365,9.96346,3.5098197,0.60416925,7.588239,-19.846714,-19.309517,-13.020844,-0.4685435,9.403889
42,10.626831,9.096623,5.5527782,-1.5842695,0.22875415,-15.939462,-3.990426,-3.402496,-8.318942,-1.1986465
43,13.845467,6.1553965,9.697421,2.4479856,-7.177142,-21.131805,6.479796,-1.6210542,-10.022607,-6.3273926
44,7.0668793,10.180194,1.9452375,-4.739646,-1.8268495,1.6295474,8.519111,-11.05095,-13.256524,-1.3664035
45,-7.199412,5.4185133,2.315273,17.221003,7.7216926,-12.830645,-8.019824,-0.09561492,0.21941659,-7.642406
46,11.584057,5.0490394,7.3570685,5.210541,-2.9747174,-13.817055,-5.000993,-5.6606083,2.9908602,-3.0308642
47,11.556357,-1.4918047,12.6294985,13.7223015,12.651329,-29.274477,-16.785854,-10.327208,-0.77019507,-11.189439
48,7.5429754,4.548984,2.3163252,-3.2653916,1.6919782,-2.5966222,7.8922973,-9.778391,-5.4339256,-8.930563
49,2.7493753,5.3692336,2.106455,0.7769203,-5.325031,-2.0877879,1.1546857,-9.215014,0.39389637,4.92077
50,-3.5034862,14.818684,7.8779593,-4.0976343,4.6900535,6.4661317,-3.6102314,-4.7034245,-17.378853,-2.370963
51,9.898312,11.192439,7.9240437,0.31654358,11.59319,-19.360477,-3.9431124,-10.776093,-9.4087305,-11.219521
52,2.1519957,10.9503,11.289613,5.3938065,-8.124509,-15.43993,29.020493,-12.272034,-10.1595745,-9.419192
53,3.2810767,5.835941,-0.17978658,1.9060887,2.4891918,-3.826881,-7.2092752,0.93994105,-2.3919182,-4.7593694
54,1.0004288,9.618901,24.749971,13.3095875,-5.1382933,-32.67501,1.6516284,-7.5042343,2.7663443,-8.834431
55,13.513001,4.5059953,16.204008,7.420931,-1.9120706,-30.621262,-13.313649,-11.767112,9.698744,-8.367141
56,7.484929,3.2429786,3.485871,-0.47590882,14.408806,-22.659515,-17.548372,-6.842182,8.952168,-1.6796987
